landmark_images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_3.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,salience_text.started,salience_resp.started,image_Landmarks.started,salience_resp.keys,salience_resp.rt,visualcomplexity_text.started,visualcomplexity_resp.started,visualcomplexity_resp.keys,visualcomplexity_resp.rt,landmarkName_text.started,feedbackText.started,endButton.started,mouse.started,feedbackText.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,20.983177188994887,25.98998626499815,25.98998626499815,space,31.483022257998527,,,,,,,,,,,,,,,,,,,,,,,,,,902167,001,2022-11-28_15h08.39.982,nh_sess1,2022.2.4,None,
,,,,,,,,,,57.52780499000073,57.52780499000073,space,0.4077650149993133,,,,,,,,,,,,,,,,,,,,,,902167,001,2022-11-28_15h08.39.982,nh_sess1,2022.2.4,None,
images/Landmark3.png,0,0,0,2,,,,,,,,,,58.025453394999204,58.025453394999204,58.025453394999204,['2'],[2.5100010440000915],60.57987073199911,60.57987073199911,['2'],[1.5733594779958366],62.18759439399582,62.18759439399582,62.18759439399582,0.0016598729998804629,2gf,[0.008571428571428572],[-0.3076190476190476],[1],[0],[0],[8.86838908399659],['endButton'],902167,001,2022-11-28_15h08.39.982,nh_sess1,2022.2.4,None,
,,,,,,,,,,,,,,71.05026285399799,71.05026285399799,71.05026285399799,,,,,,,,,,,,,,,,,,,,,,,,,
