landmark_images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_3.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,salience_text.started,salience_resp.started,image_Landmarks.started,salience_resp.keys,salience_resp.rt,visualcomplexity_text.started,visualcomplexity_resp.started,visualcomplexity_resp.keys,visualcomplexity_resp.rt,landmarkName_text.started,feedbackText.started,endButton.started,mouse.started,feedbackText.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,18.71974961899832,23.729967047998798,23.729967047998798,space,1.2150835040010861,,,,,,,,,,,,,,,,,,,,,,,,,,132551,001,2022-11-28_15h11.25.754,nh_sess1,2022.2.4,None,
,,,,,,,,,,24.96998417800205,24.96998417800205,space,0.35118241200689226,,,,,,,,,,,,,,,,,,,,,,132551,001,2022-11-28_15h11.25.754,nh_sess1,2022.2.4,None,
images/Landmark2.png,0,0,0,1,,,,,,,,,,25.40220060900174,25.40220060900174,25.40220060900174,['3'],[4.645346149001853],30.08151410499704,30.08151410499704,['2'],[0.6474759019984049],30.77404843200202,30.77404843200202,30.77404843200202,0.0009011920046759769,"23
",[-0.007619047619047619],[-0.30952380952380953],[1],[0],[0],[6.000806761003332],['endButton'],132551,001,2022-11-28_15h11.25.754,nh_sess1,2022.2.4,None,
,,,,,,,,,,,,,,36.7738824620028,36.7738824620028,36.7738824620028,,,,,,,,,,,,,,,,,,,,,,,,,
